Location,Indicator,Sector,Units,Scale,Measurement,2024,Source,Seasonally adjusted,Base year price,Base year index,Historical end,Date of last update,Source details,Additional source details,Contact email,Location code,Indicator code
South West,GVA by Sector,Construction,GBP,millions 2023 prices,Level values,11588.03,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQFF
South West,GVA by Sector,Construction of buildings,GBP,millions 2023 prices,Level values,3436.63,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ41
South West,GVA by Sector,"Creative, arts & entertainment",GBP,millions 2023 prices,Level values,636.04,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ90
South West,GVA by Sector,Crop & animal production,GBP,millions 2023 prices,Level values,1991.89,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ01
South West,GVA by Sector,Education,GBP,millions 2023 prices,Level values,11577.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ85
South West,GVA by Sector,"Electricity, gas, steam & air conditioning",GBP,millions 2023 prices,Level values,3407.52,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ35
South West,GVA by Sector,"Electricity, gas, steam and air ",GBP,millions 2023 prices,Level values,3407.52,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQDD
South West,GVA by Sector,Employment activities,GBP,millions 2023 prices,Level values,1585.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ78
South West,GVA by Sector,Extraction of crude petroleum & natural gas,GBP,millions 2023 prices,Level values,0.98,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ06
South West,GVA by Sector,Financial and insurance ,GBP,millions 2023 prices,Level values,10002.69,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQKK
South West,GVA by Sector,Financial service activities,GBP,millions 2023 prices,Level values,4479.8,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ64
South West,GVA by Sector,Fishing & aquaculture,GBP,millions 2023 prices,Level values,129.11,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ03
South West,GVA by Sector,Food & beverage service activities,GBP,millions 2023 prices,Level values,3896.73,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ56
South West,GVA by Sector,Forestry & logging,GBP,millions 2023 prices,Level values,81.71,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ02
South West,GVA by Sector,Gambling & betting,GBP,millions 2023 prices,Level values,136.43,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ92
South West,GVA by Sector,Human health,GBP,millions 2023 prices,Level values,12074.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ86
South West,GVA by Sector,Human health and social work ,GBP,millions 2023 prices,Level values,17219.68,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQQQ
South West,GVA by Sector,Information and communication,GBP,millions 2023 prices,Level values,7363.71,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQJJ
South West,GVA by Sector,Information service activities,GBP,millions 2023 prices,Level values,452.21,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ63
South West,GVA by Sector,"Insurance, reinsurance & pension funding",GBP,millions 2023 prices,Level values,2921.61,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ65
South West,GVA by Sector,Land transport & transport via pipelines,GBP,millions 2023 prices,Level values,2050.4,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ49
South West,GVA by Sector,Legal & accounting,GBP,millions 2023 prices,Level values,4652.95,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ69
South West,GVA by Sector,"Libraries, archives, museums & other cultural",GBP,millions 2023 prices,Level values,341.17,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ91
South West,GVA by Sector,Manufacture of basic metals,GBP,millions 2023 prices,Level values,261.45,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ24
South West,GVA by Sector,Manufacture of basic pharmaceuticals,GBP,millions 2023 prices,Level values,1686.17,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ21
South West,GVA by Sector,Manufacture of beverages,GBP,millions 2023 prices,Level values,321.91,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ11
South West,GVA by Sector,Manufacture of chemicals,GBP,millions 2023 prices,Level values,706.84,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ20
South West,GVA by Sector,Manufacture of coke & refined petroleum,GBP,millions 2023 prices,Level values,34.87,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ19
South West,GVA by Sector,"Manufacture of computer, electronic & optical ",GBP,millions 2023 prices,Level values,2109.98,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ26
South West,GVA by Sector,Manufacture of electrical equipment,GBP,millions 2023 prices,Level values,784.21,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ27
South West,GVA by Sector,Manufacture of fabricated metal products,GBP,millions 2023 prices,Level values,1810.78,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ25
South West,GVA by Sector,Manufacture of food products,GBP,millions 2023 prices,Level values,2318.21,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ10
South West,GVA by Sector,Manufacture of furniture,GBP,millions 2023 prices,Level values,480.2,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ31
South West,GVA by Sector,Manufacture of leather & related products,GBP,millions 2023 prices,Level values,51.15,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ15
South West,GVA by Sector,Manufacture of machinery & equipment n.e.c.,GBP,millions 2023 prices,Level values,1649.14,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ28
South West,GVA by Sector,Manufacture of motor vehicles,GBP,millions 2023 prices,Level values,1029.34,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ29
South West,GVA by Sector,Manufacture of other non-metallic products,GBP,millions 2023 prices,Level values,589.4,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ23
South West,GVA by Sector,Manufacture of other transport equipment,GBP,millions 2023 prices,Level values,4176.99,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ30
South West,GVA by Sector,Manufacture of paper & paper products,GBP,millions 2023 prices,Level values,382.84,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ17
South West,GVA by Sector,Manufacture of rubber & plastic products,GBP,millions 2023 prices,Level values,616.55,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ22
South West,GVA by Sector,Manufacture of textiles,GBP,millions 2023 prices,Level values,235.05,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ13
South West,GVA by Sector,Manufacture of tobacco products,GBP,millions 2023 prices,Level values,0,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ12
South West,GVA by Sector,Manufacture of wearing apparel,GBP,millions 2023 prices,Level values,100.02,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ14
South West,GVA by Sector,Manufacture of wood & wood products,GBP,millions 2023 prices,Level values,283.79,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ16
South West,GVA by Sector,Manufacturing - Total,GBP,millions 2023 prices,Level values,21201.92,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQCC
South West,GVA by Sector,Mining and quarrying,GBP,millions 2023 prices,Level values,407.02,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQBB
South West,GVA by Sector,Mining of coal & lignite,GBP,millions 2023 prices,Level values,0,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ05
South West,GVA by Sector,Mining of metal ores,GBP,millions 2023 prices,Level values,0,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ07
South West,GVA by Sector,Mining support service activities,GBP,millions 2023 prices,Level values,11.82,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ09
South West,GVA by Sector,"Motion picture, video & television production",GBP,millions 2023 prices,Level values,462.44,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ59
South West,GVA by Sector,Office administrative,GBP,millions 2023 prices,Level values,1765.61,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ82
South West,GVA by Sector,Other manufacturing,GBP,millions 2023 prices,Level values,604.05,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ32
South West,GVA by Sector,Other mining & quarrying,GBP,millions 2023 prices,Level values,394.22,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ08
South West,GVA by Sector,Other personal service activities,GBP,millions 2023 prices,Level values,2886.57,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ96
South West,GVA by Sector,"Other professional, scientific & technical",GBP,millions 2023 prices,Level values,900.44,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ74
South West,GVA by Sector,Other service activities,GBP,millions 2023 prices,Level values,3400.55,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQSS
South West,GVA by Sector,Postal & courier activities,GBP,millions 2023 prices,Level values,911.16,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ53
South West,GVA by Sector,Printing & reproduction of recorded media,GBP,millions 2023 prices,Level values,316.54,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ18
South West,GVA by Sector,Education,GBP,millions 2023 prices,Level values,11577.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQPP
South West,GVA by Sector,"Professional, scientific and tech",GBP,millions 2023 prices,Level values,14137.51,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQMM
South West,GVA by Sector,Programming & broadcasting activities,GBP,millions 2023 prices,Level values,295.34,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ60
South West,GVA by Sector,Public administration and defence,GBP,millions 2023 prices,Level values,13020.15,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ84
South West,GVA by Sector,Public administration and defence,GBP,millions 2023 prices,Level values,13020.15,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQOO
South West,GVA by Sector,Publishing activities,GBP,millions 2023 prices,Level values,870.41,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ58
South West,GVA by Sector,Real estate,GBP,millions 2023 prices,Level values,30997.4,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ68
South West,GVA by Sector,Real estate activities,GBP,millions 2023 prices,Level values,30997.4,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQLL
South West,GVA by Sector,Remediation & other waste management ,GBP,millions 2023 prices,Level values,18.79,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ39
South West,GVA by Sector,Rental & leasing activities,GBP,millions 2023 prices,Level values,5007.75,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ77
South West,GVA by Sector,Repair & installation of machinery,GBP,millions 2023 prices,Level values,652.44,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ33
South West,GVA by Sector,Repair of computers & personal goods,GBP,millions 2023 prices,Level values,164.6,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ95
South West,GVA by Sector,Residential care,GBP,millions 2023 prices,Level values,2668.22,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ87
South West,GVA by Sector,Retail trade,GBP,millions 2023 prices,Level values,8754.99,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ47
South West,GVA by Sector,Scientific research & development,GBP,millions 2023 prices,Level values,2750.67,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ72
South West,GVA by Sector,Security & investigation,GBP,millions 2023 prices,Level values,212.4,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ80
South West,GVA by Sector,Services to buildings & landscape,GBP,millions 2023 prices,Level values,1174.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ81
South West,GVA by Sector,Sewerage,GBP,millions 2023 prices,Level values,1068.06,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ37
South West,GVA by Sector,Social work activities without accommodation,GBP,millions 2023 prices,Level values,2476.62,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ88
South West,GVA by Sector,Specialised construction activities,GBP,millions 2023 prices,Level values,6132.84,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ43
South West,GVA by Sector,Sports activities & amusement & recreation,GBP,millions 2023 prices,Level values,910.44,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ93
South West,GVA by Sector,Telecommunications,GBP,millions 2023 prices,Level values,2326.66,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ61
South West,GVA by Sector,Total,GBP,millions 2023 prices,Level values,191284.8,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQTT
South West,GVA by Sector,Transportation and storage,GBP,millions 2023 prices,Level values,5242.66,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQHH
South West,GVA by Sector,Travel agency & tour operators,GBP,millions 2023 prices,Level values,453.86,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ79
South West,GVA by Sector,Veterinary activities,GBP,millions 2023 prices,Level values,996.3,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ75
South West,GVA by Sector,Warehousing & support for transportation,GBP,millions 2023 prices,Level values,1834.73,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ52
South West,GVA by Sector,"Waste collection, treatment & disposal",GBP,millions 2023 prices,Level values,930.36,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ38
South West,GVA by Sector,"Water collection, treatment & supply",GBP,millions 2023 prices,Level values,1042.3,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ36
South West,GVA by Sector,Water supply,GBP,millions 2023 prices,Level values,3059.51,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQEE
South West,GVA by Sector,Water transport,GBP,millions 2023 prices,Level values,235.68,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ50
South West,GVA by Sector,"Wholesale & retail trade of motor vehicles, incl. repair",GBP,millions 2023 prices,Level values,2735.53,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ45
South West,GVA by Sector,Wholesale and retail trade,GBP,millions 2023 prices,Level values,17856.83,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQGG
South West,GVA by Sector,Wholesale trade,GBP,millions 2023 prices,Level values,6366.32,"National Statistics, Regional Accounts",FALSE,2023,,2023,24-Feb-26,"National Statistics Regional Accounts, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,QQ46
South West,ILO unemployment,Whole Economy,People,thousands,Level values,111.53,National Statistics,FALSE,,,2024,24-Feb-26,"National Statistics, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,UNMP_ILO
South West,ILO unemployment rate,Whole Economy,% of economically active,,Level values,3.6,National Statistics,FALSE,,,2024,24-Feb-26,"National Statistics, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,UP_ILO
South West,Resident employment,Whole Economy,People,thousands,Level values,2984.41,Annual Population Survey,FALSE,,,2024,24-Feb-26,"Annual Population Survey, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,RET
South West,Residence employment rate,Whole Economy,% of population aged 16+,,Level values,0.61,Annual Population Survey,FALSE,,,2024,24-Feb-26,"Annual Population Survey, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK4,RER
